"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"1740","Ljubljana",336,86.625,0.9,0.7,0.5,2.4,2.025,1.5,0,0,980.7,980.425,980.3,84.3,79.275,69.6,7.5,5.5125,4.9,17.6,15.85,15.1,102.15,"6",130.716666666667
"749","Koper",135,17.375,2.1,1.35,0.8,3.4,2.4375,1.6,0,0,1020.2,1017.4,1014.6,92.7,89.3625,74.6,-4.6,-5.3875,-6.1,8.9,8,5.9,92.9,"3",89.4666666666667
"571","Koper",343,60.875,2.4,2.0125,1.4,3.8,3.15,2.4,0,0,1015.9,1015.575,1015.1,78.5,74.3,58.1,12.4,10.7,9.3,22.4,18.7375,17.7,115.35,"8",102.883333333333
"2343","Ljubljana",243,49.375,1.6,0.9875,0.3,3,2.2,1.1,0,0,984.6,983.4125,982.9,91.1,89.1625,86.1,15.4,13.0875,11.7,18,17.0875,16.4,102.1,"8",99.35
"2157","Ljubljana",7,0.875,1,0.6875,0.3,2.4,1.575,0.9,0,0,995.3,993.8875,992.9,93.5,90.125,87.4,2.5,1.0375,-0.6,4,2.7625,1.1,53.95,"1",43.8666666666667
"367","Koper",4,0.5,1.7,1.275,0.8,2.7,2.225,1.7,0,0,1010.3,1009.3125,1008.4,80.1,77.475,75.3,-2.4,-2.7625,-3.1,9.8,9.175,8.6,22,"1",75.9166666666667
"736","Koper",54,6.75,5,4.1625,3.2,12.3,10.225,8.8,0,0,1035.7,1034.225,1033.1,45.1,41.825,37.6,-3.6,-5.025,-6.5,6.6,5.875,5.2,89.6,"2",97.5833333333333
"1091","Koper",433,94.125,2.5,1.5375,0.9,3.9,2.7,1.4,0,0,1017.2,1016.8875,1016.6,73.9,65.55,55.8,16.1,14.9625,14.1,25.9,23.4625,21.7,143.7,"7",129.3
"1789","Ljubljana",75,15.25,1.7,0.9625,0.6,3,2.1625,1.7,0.0625,0.5,980.6,980.3,980.1,96.2,94.925,92,7.1,6.475,6.2,14.6,13.825,13.4,58.95,"8",60.4166666666667
"701","Koper",6,0.75,2.9,2.0625,1.2,4.8,3.925,2.2,0,0,1026.6,1025.5,1024.4,70.5,65.8125,61.4,-4.3,-6.4625,-7.5,4.9,2.825,2.2,77.9,"1",45.9333333333333
"2269","Ljubljana",199,55.875,1.5,1.0125,0.6,3,2.3,1.7,0.025,0.2,979.4,978.8875,978.4,93.5,90.25,87,4.9,4.2125,3.8,13.5,12.5625,11.4,69.35,"6",83.5666666666667
"2040","Ljubljana",272.2,69.525,2,1.5,0.9,5,3.5,2.5,0.025,0.2,984,982.9,981.7,86.8,74.7857142857143,64.5,8.4,6.1875,5.2,17,15.2857142857143,13.8,115.5,"5",102.816666666667
"841","Koper",528,116,2.7,1.9,0.9,7.4,3.925,2.1,0,0,1018.9,1017.9,1016.9,64.3,52.4375,32.2,13.6,10.475,9.6,28.1,22.4625,19.4,147.35,"6",144.533333333333
"493","Koper",349,54.75,3.1,2,1.4,7.1,3.7875,2.9,0,0,1013,1011.675,1010.8,72.7,61.95,57.4,7.1,6.6625,6.2,21.3,19.525,18.9,132.05,"6",132.383333333333
"1998","Ljubljana",33,5.375,3,1.6375,0.5,5,3.225,1.4,2.7625,22.4,972.7,971.2375,970.3,98,96.775,95.5,1.5,1.25,0.5,7.6,7.325,7,64.05,"3",91.4666666666667
"1134","Koper",126.8,21.05,7.2,2,0.9,9.6,3.875,1.8,0,0,1015.2,1014.325,1014,80.3,75.0875,68.5,13.4,12.4625,11.8,24.9,23.7,23,128.8,"8",124.816666666667
"933","Koper",5,0.625,2.7,1.35,0.6,4.1,2.3,1.2,0.0125,0.1,1030.2,1029.2625,1028.8,88.8,86.6625,83.3,2.6,1.7875,1.1,9.2,8.525,7.9,36.8,"1",37.8166666666667
"2276","Ljubljana",407,106.125,1.3,0.8875,0.3,2.5,1.8125,1.1,0,0,986,985.4,985,88.4,83.675,67.5,10,8.4875,7.9,19.5,16.825,16,101.35,"6",91.45
"387","Koper",4,0.5,7.7,4,0.6,14.7,7.0375,1.2,2.85,20.6,1006.1,1003.9,1001.6,94.3,89.325,81.4,0,-0.5125,-0.7,14.1,11.8625,10.4,87.95,"2",89.9333333333333
"1039","Koper",489,107.25,2.1,1.675,1.1,3.7,2.875,1.8,0,0,1017.5,1017.125,1016.8,81.6,75.95,58.7,2.1,1.575,1,16.7,11.9625,10,128.75,"5",120.233333333333
"172","Koper",442,74.625,4,2.6625,1.9,8.8,6.6375,4.6,0,0,1021.8,1021.2625,1020.8,50.5,47.3375,43.7,12.5,11.1375,10.7,26,25.25,24.7,127.25,"7",132.616666666667
"512","Koper",475,105.875,2.3,1.8125,1,3.3,2.825,1.6,0,0,1017.3,1017,1016.7,79.3,73.95,62.3,10.7,9.125,8.5,23.6,20.1875,18.3,130.4,"6",116.216666666667
"1568","Ljubljana",2,0.25,1.3,0.9625,0.6,2.6,2.3,1.6,0.0125,0.1,995,994.35,993.8,96.2,95.775,94.8,5.4,4.7875,4.3,-3.6,-3.95,-4.3,4.9,"12",6.88333333333333
"2445","Ljubljana",12.9,1.6125,0.5,0.35,0.2,1.9,1.1625,0.9,0.025,0.2,978.8,978.075,977.5,94.3,93.5125,92.7,2.4,2.3375,2.2,8.7,8.6,8.4,62.35,"11",20.8333333333333
"354","Koper",0,0,1.3,1.0125,0.6,2.1,1.725,1.2,0,0,1025.2,1024.0875,1023.2,90.8,89.4375,88.4,4.9,3.1875,2.4,9.4,9.05,8.9,28.65,"1",53.35
"180","Koper",437,96.5,2.5,1.7125,0.9,3.7,2.7875,1.9,0,0,1018,1017.7,1017.5,62.4,56.525,39.7,12.2,10.2,9.6,26.4,22.075,20.4,156.3,"7",144.416666666667
"290","Koper",18.1,2.275,4.4,2.0875,0.8,7.4,3.5,1.6,4.125,29.8,996.2,995.0375,994.1,92.9,91.85,90.6,2.9,2.4875,2,14.7,14.0625,13.7,73.95,"11",76.0833333333333
"1025","Koper",477,91.875,2,1.05,0.6,3.5,2.25,1.5,0,0,1016.3,1014.8125,1013.7,69.3,64.6375,60.8,3.2,2.4875,2.2,15.8,13.25,11.9,115.8,"5",97.7666666666667
"456","Koper",97,18.5,1.8,1.125,0.4,3.1,2.1125,1.2,0.475,3.8,1004.3,1003.525,1003,94.6,93.1625,91.9,4.5,4.3,4.1,14.9,14.5375,14.4,67.25,"4",94.75
"1287","Ljubljana",2,0.25,1.4,0.725,0.3,3,1.7125,1,0,0,973,972.025,971.5,95.3,94.15,90.5,-5.2,-5.9625,-6.5,1.4,1.1875,1,40.95,"1",19.8166666666667
"2245","Ljubljana",459,105.625,1,0.575,0.1,2,1.5,0.6,0,0,982.2,981.6625,981.4,89.3,82.9625,70,5.3,4.8625,4.4,13.6,10.525,8.9,115.45,"5",99.5166666666667
"2233","Ljubljana",89,20.875,1.1,0.5875,0.1,2.6,1.675,0.7,0.1375,1.1,967.7,966.675,966.2,92.6,87.25,70.2,3,1.025,-0.7,10.8,10.45,10.1,66.65,"4",105.15
"1983","Ljubljana",59,8.75,0.9,0.5875,0.2,2.3,1.5625,1.1,0,0,987.2,986.6,986.2,79.8,76.7875,70.6,0.4,-0.175,-0.7,2.2,1.1,0.6,55.85,"3",97.8
"1442","Ljubljana",450,101.125,3.7,1.8125,0.8,7.3,3.925,2.3,0.5875,4.7,985.7,984.95,983.6,94.3,78.975,54.7,12.2,11.3375,10.6,24.3,20.9625,18.6,107.65,"7",126.666666666667
"1648","Ljubljana",183,26.5,1.1,0.6,0.2,2.3,1.825,1.3,0,0,995.5,994.675,994.2,81.5,75.025,65.5,3.6,1.3625,0.2,3,1.1375,-0.2,107.25,"3",90.7833333333333
"1417","Ljubljana",160,24.75,2.4,1.225,0.3,5.6,2.7,1,1.15,9.2,978,977.2,976.6,92.6,89.225,86.1,10.1,9.4375,7.7,18.1,17.525,16.1,60.15,"6",124.233333333333
"1424","Ljubljana",339,94.375,1,0.6375,0.2,2.1,1.5875,0.8,0,0,982.4,982.025,981.8,89.9,83.1,71,13.1,10.725,9.9,19.3,16.7875,15.2,142,"7",105.15
"1866","Ljubljana",18,2.25,1.1,0.6625,0.2,2.9,1.9,1,0,2.4,982.5,982.25,981.7,99.8,99.325,98.9,5.8,5.55,5.4,11.3,10.6875,10.3,20.9,"11",30.6333333333333
"1588","Ljubljana",5,0.625,3.6,1.2875,0,7,3.1875,0.7,0,0,986.4,985.65,985.1,98.4,94.25,86.8,1.9,0.55,0.2,9.2,7.225,5.8,49.85,"1",44.1833333333333
"696","Koper",1,0.125,1.9,1.45,0.9,2.9,2.375,1.6,0,0,1028.9,1028.175,1027.8,68.4,67.025,65.3,-3,-5.2,-7,5.8,4.6875,3.6,70.1,"1",78.05
"1991","Ljubljana",194,28.25,1.5,0.8125,0.4,3.4,1.9125,1.3,0,0,989.2,988.0375,987.4,85.7,77.675,72.4,-1.1,-2.475,-3.2,4.2,2.825,1.3,108.7,"3",83.8333333333333
"681","Koper",1,0.125,2.3,1.7375,1.2,4.2,2.925,2.2,0,0,1031.6,1030.5,1029.6,90.6,87.2125,83.8,1.2,-0.9875,-2.5,7.6,7.05,6.5,45.2,"12",43.05
"1034","Koper",127,32.75,5.8,4.0375,2.1,8.6,6.725,3.7,0.0875,0.7,999.1,998.4,997.9,82.4,78.8375,74.2,3,2.5625,2.2,16.6,15.875,15.2,98.05,"5",111.3
"1786","Ljubljana",396,65.625,1.8,1.1875,0.6,4,2.9375,2.3,0,5.1,980.6,980.1375,979.4,81.1,78.05,72.1,12.2,11.7125,11.2,22.1,21.0375,20.3,71.1,"8",116.05
"1092","Koper",472,101.375,2.5,1.475,0.6,3.7,2.525,1.8,0,0,1016.2,1015.9375,1015.8,78.2,68.775,46.3,16.2,14.65,13.5,29.9,24.6875,22.5,149.15,"7",135.233333333333
"2073","Ljubljana",498,126.5,0.9,0.4375,0,2.2,1.5875,0.9,0,0,982.6,982.3375,982.2,89.9,82.975,67.3,12.4,11.025,10.2,22.4,19.025,17.1,137.55,"6",117.833333333333
"771","Koper",54,12.375,2.2,1.7625,1.3,4.2,3.175,2.3,0,0,1012,1009.1,1006.3,79.7,74.7625,69.8,1.2,-0.275,-1.2,11.7,9.875,8.7,90.45,"3",104.983333333333
"2178","Ljubljana",10,1.25,1.9,0.9,0.2,3.2,2.3,1,0.75,6,976,973.1,971.6,98.2,96.7875,95.6,0.2,-0.3875,-1.1,5.1,4.4125,4.1,29.65,"2",38.9666666666667
"257","Koper",241,36.5,2.9,2.1875,1.3,7.8,5.65,4.1,0,0,1026,1024.7,1024.1,48.4,43.8,41.1,-0.5,-1.075,-1.9,14,13.3625,12.9,72.2,"10",70.6166666666667
"1133","Koper",201,50.875,1.6,1.35,1.1,3.3,2.275,1.7,0,0,1015.1,1014.7125,1014.3,87.1,83.4875,69.5,14.5,12.5125,11.6,23.7,21.3375,20.4,129.4,"8",123.633333333333
"2353","Ljubljana",353,65.875,0.7,0.375,0.1,1.5,1.1,0.6,0,0,988.2,987.95,987.7,92.9,90.1125,83.9,14.4,13.1375,12.4,16.8,15.35,14.1,124.85,"8",96.9833333333333
"645","Koper",22,2.75,1.6,1.15,0.4,3,2.15,1,0.1125,0.5,1006.5,1004.85,1003.8,93.5,91.325,86.7,4.5,3.65,3.4,14.7,14.4,14.1,48.95,"11",75.55
"1032","Koper",203,40.5,2.1,1.1375,0.5,3.2,2.0625,1,0,0,1012.9,1010.9,1009.8,72.8,69.65,65,5.2,4.5375,4,18.4,16.5125,15.6,104.3,"5",122.083333333333
"999","Koper",114,19.25,2.7,1.825,1.4,4.1,3.25,2,0,2.4,1004.2,1002.7625,1002,85,72.1625,54.9,6.2,5.3625,4.8,18.1,14.3,12.4,95.1,"4",106.35
"585","Koper",106,18.25,3.7,1.9625,1,6.2,3.35,1.7,0.075,0.6,1014.7,1013.4875,1012.7,88.8,83.425,78.6,4.4,3.85,3.2,16.4,15.5125,14.6,91.8,"9",88.8
"2466","Ljubljana",4,0.5,0.7,0.425,0.2,2.2,1.0875,0.6,0,0,1000.3,1000.1875,1000,96.9,93.1,90.6,1.8,0.6,-1.2,-4.1,-5.25,-6.4,17.4,"12",23.7166666666667
"627","Koper",132,17.125,1.9,1.6125,1.3,3.9,3.25,2.8,0,0,1024.7,1023.5375,1022.9,78.7,75.025,69.1,1.7,-0.5125,-1.8,9.5,8.2375,7.1,65.75,"10",55.2333333333333
"992","Koper",140,21.875,2,1.275,0.7,4,2.45,1.8,0,0,1016.3,1015.5125,1014.5,87.7,84.05,76.1,4.1,3,2.1,15.7,13.1625,11.6,93.95,"4",102.966666666667
"1793","Ljubljana",365,79.5,1.1,0.7375,0.4,2.3,1.8625,1.3,0,0,979.5,978.8125,978.4,93.9,87.9,79.1,9.2,8.725,8.3,17.2,14.8375,13.2,88.55,"8",86.8666666666667
"1804","Ljubljana",223,44.75,1,0.425,0.2,2.4,1.25,0.9,0,11.8,982.7,981.8625,981.4,92.2,90.65,86.8,10.3,9.325,9,17,15.725,15.1,98.5,"8",95.15
"2074","Ljubljana",517,116.125,3.5,2.4625,2,6.2,5.225,4.3,0,0,980.9,980.6125,980.4,67,64.125,60,12,10.825,10.1,24.3,21.275,19.8,121.5,"6",123.333333333333
"1361","Ljubljana",217,42,1.2,0.75,0.5,2.9,1.9875,1.3,0,0,984.4,983.775,983.1,90.9,87.4625,82.2,5,4.475,4.2,14.4,12.5625,11.5,109.15,"4",110.8
"73","Koper",167,24.5,3.7,2.4375,1.5,6,3.95,2.4,0,1,1020,1018.5875,1017.7,57.1,52.2125,48.9,-9.2,-9.5625,-10.5,5.7,3.5,2.7,114.3,"3",97.1333333333333
"264","Koper",51.8,7.45,2.3,1.4,0.7,4.3,2.75,1.8,0.1875,1.5,1015.1,1013.2125,1011.8,90.6,85.2375,82,5.4,5.1375,4.7,16.6,16.075,15.6,94.35,"10",83.0666666666667
"1135","Koper",397,76.875,4.4,2.7875,1.6,9.7,7.1875,3.6,0,0,1022.1,1019.9875,1018.3,58.3,49.6125,37,8,7.075,6.5,23.3,20.675,19.3,101.55,"8",124.833333333333
"1517","Ljubljana",86,12,0.6,0.3875,0.2,1.5,1.1375,0.9,0.025,0.2,988,986.7625,986.1,97,96.075,95.1,6.2,5.7875,5,12.5,12.15,11.7,61.8,"10",66.1
"609","Koper",72,12.25,2.3,1.875,1.4,3.7,3.075,2.5,0,0,1016.9,1016.075,1015.7,84.7,81.7875,77.5,5,4.6125,4.1,16.5,15.3625,14.7,87.25,"10",75.45
"226","Koper",110,19.875,2.7,2,1.3,7.3,4.775,2.9,0.0125,0.1,1021.2,1020.4,1019.6,66,53.4625,46.5,7.4,6.8625,6.2,22.9,21.3375,19.9,101.65,"9",125.033333333333
"404","Koper",46,5.75,4.5,2.275,1.5,10.8,4.225,2.5,0.35,2.6,1015.5,1013.925,1012.7,88,83.9375,78.8,-3.7,-3.875,-4,8.9,8.0875,7.1,97.4,"2",100.683333333333
"454","Koper",219,54.5,2.5,1.4875,0.9,3.8,2.8875,1.9,0,0,1009.6,1009.1875,1008.8,79.7,73.5375,68.9,8.1,5.7625,4.9,18.4,16.75,14.9,96.35,"4",101.133333333333
"945","Koper",3,0.375,1.8,1.125,0.7,2.8,2.1125,1.3,0.0125,0,996.3,995.7375,995,95,93.75,92.1,-2.2,-2.4625,-2.8,7.8,7.4375,7,63,"2",78.5666666666667
"1382","Ljubljana",619,120.25,2.6,1.3625,0.2,5.5,3.3625,0.8,0.4,5.5,980.5,979.325,978.4,95.4,84.55,68.6,2.2,1.7875,1.3,15.4,12.2875,10.5,105.95,"5",87.1166666666667
"796","Koper",417,83.125,3.3,1.5875,0.8,8.4,3.575,1.6,0,0,1022.4,1022.0125,1021.7,75.7,62.4375,50.5,-4.4,-5.8375,-6.7,9.6,7.175,4.1,99.95,"4",113.683333333333
"1020","Koper",466,97.625,3.1,2.3,1.2,6.5,5.5375,2.9,0,0,1018.3,1017.25,1016.6,60.6,51.225,38.3,-2.2,-2.7875,-3.4,13.6,10.65,8.9,110.35,"4",110
"1759","Ljubljana",473,113.75,0.8,0.4125,0.1,1.8,1.275,0.6,0,0,985.2,984.8375,984.5,94.8,87.85,72.6,14,12.425,12,21.6,17.7875,15.9,105.6,"7",94.9166666666667
"1228","Koper",16,2,1.4,0.9375,0.8,2.2,1.7625,1.4,0.05,0.3,1022.1,1021.375,1020.7,93.8,93.425,93.1,4.7,4.2375,4,14.3,14.075,13.9,51.45,"11",59.3
"1127","Koper",408,80.75,2.6,1.5125,0.8,3.7,2.475,1.5,0,0,1022.9,1022.3375,1022,80.9,74.6125,53.8,16.5,13.65,11.4,24.9,19.675,17.8,156.45,"8",107.066666666667
"1676","Ljubljana",153,25.5,2.3,1.6,1,6,3.8375,2.5,0.3375,1.5,985,982.8625,981.5,91,87.675,80.2,1.8,0.7625,-0.2,11.7,10.425,9.4,91.25,"4",97.4333333333333
"1313","Ljubljana",28,3.5,0.9,0.6,0.2,2.3,1.3875,0.9,0,0,983.8,982.675,982,92.8,91.6125,90.7,-9.9,-10.4875,-11,-1.3,-2.8,-4,81.85,"2",70.9833333333333
"1599","Ljubljana",0,0,1.2,0.4875,0.2,2.6,1.9,1.4,0.25,6.2,973.5,972.4625,971.3,98.9,98.55,98.2,1.5,1.2875,1,7.4,7.025,6.6,28.35,"1",51.8666666666667
"1976","Ljubljana",55,7.5,1.2,0.525,0.3,2.4,1.3,0.8,0,0,988.9,987.7625,987,89.6,85.8625,82.1,-2.6,-3.1,-3.8,1.6,0.975,0.5,73.75,"3",87.1666666666667
"757","Koper",61,8.5,2.5,1.45,1,3.5,2.5375,1.9,0,0,1022.6,1021.525,1020.9,66.6,63.9125,60.5,0.4,-0.175,-0.7,7.2,5.85,5.3,79.8,"3",97.1333333333333
"2136","Ljubljana",2,0.25,0.8,0.5,0.2,1.7,1.325,0.7,0.0625,1.6,974.2,973.3875,972.7,98.2,97.7625,97.4,1.4,1.0375,0.3,1,0.925,0.8,1.85,"1",24.1
"1314","Ljubljana",46,5.75,1.1,0.6125,0.4,2.2,1.4625,1,0,0,978.7,977.7625,977.3,85,82.4125,80.6,-6.1,-7.0875,-8,-0.1,-0.425,-0.8,56.4,"2",75.8333333333333
"1194","Koper",61,10,2.5,1.8125,1.1,6.3,4.4875,3.2,0.425,3.1,1012.1,1011.45,1011,84,78.2125,69.3,-0.1,-0.8625,-1.6,12.1,11.3,10.9,56.3,"10",65.4166666666667
"1653","Ljubljana",206,31.75,0.9,0.5375,0.1,3.5,2.0625,1.1,0,0,982.7,981.35,980.8,88,82.9375,76.3,5.3,4.9625,4.7,6.6,5.0625,3.7,115.2,"3",121.2
"122","Koper",103.9,32.325,3.2,1.8625,0.8,7,4.4625,2.5,0.025,0,1011.5,1010.625,1010,68.5,58.6,49.2,3.7,3.05,2.6,17.6,16.8125,16.4,94.25,"5",109.016666666667
"125","Koper",500,105.625,2.5,2.025,0.9,4,3.0875,1.7,0,0,1010.8,1009.725,1008.9,75.1,64.3125,37.9,6.9,5.1875,4.5,21.1,14.1625,11.9,120.4,"5",110.7
"629","Koper",116,15,2,1.7625,1.4,6.5,3.9125,2.8,0,0,1024.8,1024.1625,1023.7,73.3,61.6125,51.9,1.4,-0.5125,-1.2,10.1,8.4125,6,79.05,"10",63.2833333333333
"2129","Ljubljana",382,80.875,0.3,0.1375,0,1.8,0.9875,0,0,0,983.5,983.2,982.9,82.7,77.8875,69.4,18.5,15.275,14.3,20.9,18.7625,17.1,143.4,"8",135.516666666667
"1136","Koper",393,75.625,4.4,2.35,1.4,8.6,4.7125,2.6,0,0,1024.4,1024.05,1023.7,54.7,46.3,35.5,12.1,9.1875,7.6,24.3,20.5375,18.7,90.55,"8",119.916666666667
"671","Koper",6,0.75,4,3.2625,2.1,11,8.6,6.6,0,0,1016.2,1014.775,1014,52.7,48.3,45.3,-5.2,-5.525,-5.9,9.5,8.7,8,52.75,"12",41.4833333333333
"70","Koper",28,4,3.9,2.75,1,12.5,7.7375,4.7,0,0,993.1,991.65,990.3,72.9,61.4125,54.6,-3.4,-5.0625,-6.6,9.6,8.925,7.9,93.95,"3",85.3833333333333
"274","Koper",46.7,7.175,1.6,1.0875,0.7,2.8,2.0875,1.5,0,0.2,1025.1,1024.2625,1023.9,90.7,87.3,80,5.2,4.6375,4.1,16.3,15.425,14.8,97.35,"10",90.9166666666667
"1118","Koper",554,103.375,3.9,2.225,1.5,7,4.025,2.7,0,0,1010.9,1009.625,1008.9,69.4,57.7625,39.3,14.4,13.525,13.1,29.4,24.225,22,119.1,"8",150.316666666667
"1010","Koper",226,54.625,3.8,2.575,1.2,9.6,6.4,2.7,0,0,1015.8,1014.45,1013.5,74.8,59.1625,43.9,3.1,2,0.6,16.6,15.85,14.9,88.6,"4",118.55
"628","Koper",125,16.125,4.2,2.2125,1.1,9.2,5.9875,3.9,0,0,1027.1,1026.525,1026,59.3,53.4,49,-2.1,-2.4125,-2.7,11.9,10.775,10.2,65.45,"10",59.4
"1602","Ljubljana",0,0,2.4,1.4375,0.7,4.3,3.0875,1.6,2.0625,15.1,978.9,977.025,975.4,95.8,93.3625,90.8,-2.7,-3.6625,-4.4,4.1,2.25,0.5,11.4,"1",27.6
"839","Koper",526,116.25,2.9,2.0375,1.3,6.2,4.05,2.5,0,0,1020.5,1019.8625,1019.4,53,45.5875,34.4,16.7,13.3875,11.2,28.6,25.3375,22.8,155,"6",157.216666666667
"395","Koper",0,0,7,2.8,1,13.4,6.6375,2.2,0.2,1.6,1018.7,1016.4375,1014.5,89.9,81.7,74.4,2.2,1.7875,1.4,14.3,13.7,12.4,93.75,"2",79.35
"1294","Ljubljana",17,2.125,1.5,1.0375,0.6,5.2,2.725,1.5,0,0,984.1,983.8375,983.6,90.4,85.725,77.3,5.2,4.125,3.1,2.7,0.675,-0.5,65.15,"1",58.4666666666667
"323","Koper",3,0.375,2,1.6125,1.2,3.2,2.7,2.3,0,0,1029.6,1029.3625,1029.1,81.5,80.4375,79.5,1.1,-0.65,-4,7.4,7.175,6.8,48.75,"12",61.9333333333333
"539","Koper",403,70.125,2.3,1.6125,0.6,3.7,2.8,1.3,0,0,1011.4,1011.1125,1010.9,90.2,85.475,70.1,11.2,11,10.7,23.8,20.775,19.9,127.8,"7",119.083333333333
"1832","Ljubljana",193,28.5,1.2,0.6125,0.3,2.3,1.575,1,0,0,982.4,982.0875,981.8,92.9,90.6375,88.9,5,4.6125,4.1,12.4,11.875,11.3,74.15,"10",56.4833333333333
"576","Koper",17,4.125,2.4,1.9,1.5,7.6,5.575,3.6,0,0,1013.3,1012.8875,1012.6,71.9,68.3,64.4,10.2,10.0375,9.8,22.1,21.7375,21.5,80.15,"9",77.1
"942","Koper",24,3,2.7,1.7625,0.7,4.5,3.1875,2.3,0,0,1006.9,1005.2375,1003.6,85.7,77.5125,62.8,-7.6,-8.075,-8.3,7,4.7875,2.7,83.35,"2",82.1
"1955","Ljubljana",27,3.375,1.1,0.6625,0.3,2.6,1.6125,1,0,0,992,991.175,990.7,93.8,89.625,83.6,1.9,0.825,0.1,2.1,0.575,-0.5,59.1,"2",62
"69","Koper",180,24.625,2.4,1.1625,0.4,3.8,2.3,1,0.0125,0.1,997.6,996.5875,995.9,89.8,83.275,74.9,-1.9,-2.15,-2.3,11.3,9.4625,8.8,89.25,"3",84.2333333333333
"790","Koper",353,66,2.7,1.475,0.5,3.8,2.8125,1.3,0,0,1028.3,1027.675,1027.1,72.6,70.125,66.6,6.5,4.975,4.5,14.7,11.4,10.1,136.1,"4",131.45
"2360","Ljubljana",352,53.75,0.6,0.3125,0.1,1.4,1.05,0.6,0,0,985.7,985.425,985.2,95.5,91.3,86.8,14.5,12.25,11.7,18,16.8125,15.6,130.5,"9",116.033333333333
"739","Koper",29,3.625,2.4,1.75,0.8,3.8,3.1125,1.7,0,0,1018.4,1015.6,1013.3,81.3,76.0625,71.1,-4.8,-5.9875,-6.8,5.1,3.4875,2,105.4,"2",93.2166666666667
"2199","Ljubljana",200,31.875,3,1.275,0.7,5.6,2.875,1.7,0,0,980.2,979.4625,979,82,75.2875,69.8,-0.1,-0.525,-1,9,6.35,4.2,92.5,"3",98.8166666666667
"1989","Ljubljana",120,17.75,1.3,0.8,0.3,3.1,1.9,1,0,0,995.6,995,994.6,94.7,89.65,83,-0.6,-1.5375,-2.3,5.8,4.6875,3.7,81.1,"3",78.45
"1871","Ljubljana",26,3.25,2.6,1.225,0.3,5.6,3.325,1,0.825,6.3,971.3,970.55,970,98.4,94.35,86.1,4.3,3.35,2.6,11.3,10.5875,9.6,71.15,"11",22.65
"1292","Ljubljana",6,0.75,1.1,0.725,0.3,2.4,1.625,1,0,0,977,976.225,975.8,80.3,78,76.8,-1.2,-3.425,-4.6,-0.7,-1.1,-1.6,34.9,"1",66.3666666666667
"1163","Koper",81,14.25,2.2,1.6375,1.1,3.4,2.7625,1.7,0,0,1008.9,1008.1625,1007.8,87.4,84.2375,77.5,7.6,7.2125,7,18,16.725,15.9,93,"9",87.3666666666667
"467","Koper",500,108.875,2.9,1.875,1.1,3.9,2.9625,1.9,0,0,1017.8,1017.375,1016.8,79.3,71.6875,47.9,9.7,6.3,5,19.2,13.5,11.3,119.45,"5",129.45
"961","Koper",18,2.25,2.3,1.4875,0.9,5.2,3.2375,2.1,0.8,6.3,1010.8,1009.1375,1008.1,90.6,89.1375,86.8,-1.6,-2.6875,-3.8,10.4,9.3875,8.6,90.7,"3",88.2666666666667
"976","Koper",148,21.5,4.3,3.3125,2.5,10.4,8.85,6.1,0,0,1021.3,1019.5,1018.6,49.3,43.575,35.8,-8.4,-8.625,-8.8,7.4,6.9625,6.5,79.4,"3",80.3166666666667
"1029","Koper",465,101.375,2.6,1.825,0.8,3.9,3.05,1.6,0,0,1014.8,1014.1,1013.7,74,67.8875,63.9,6.7,4.925,3.9,17.7,14.3875,12.5,128.2,"5",122.433333333333
"292","Koper",73.5,9.25,2.4,1.7625,1.2,4,2.9375,2.1,0,0,1015.2,1013.525,1012.6,91.7,90.725,88.8,8,6.75,5.2,11.2,10.2375,9.7,63.75,"11",65.7833333333333
"255","Koper",178,30.25,3,2.2875,1.9,6.5,5.4625,4.6,0,0,1008.2,1007.225,1006.7,60.5,57.675,50.3,3.7,2.45,1.6,16,14.4375,14,69.3,"10",91.0166666666667
"1185","Koper",124,18.125,2.7,1.55,0.6,7.3,4.2375,1.5,0,0,1016.1,1014.6,1013.5,68.6,63.2,52.9,-2,-2.45,-2.9,11.7,10.05,9.4,64.05,"10",57.9833333333333
"399","Koper",36,4.5,2.4,1.3,0.6,4.3,2.725,1.5,0,0,1022,1020.275,1019.1,65.5,60.9625,59.2,-5,-5.775,-6.5,9.6,8.8625,7.6,83.4,"2",64.8
"1015","Koper",70,15.5,1.5,1.0375,0.8,7.3,2.5125,1.3,0.15,1.2,1001.3,1000.3,999.7,90.4,84.6625,67.2,3,1.025,-0.7,13.8,13.25,12.7,86.85,"4",119.016666666667
"215","Koper",37.8,7.05,8.5,4.4,1.5,11.8,7.325,5.1,0.575,4.4,1018.2,1016.225,1014.1,73.3,62.25,35.3,10.4,9.675,8.4,24,21.5,19.6,112.8,"8",162.866666666667
