"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"2110","Ljubljana",447,96.5,1.8,0.9875,0.3,3.5,2.6125,1.8,0,14.3,979.5,979.1875,978.9,83,73.6375,63.2,17.3,15.0125,14.2,25.1,21.8125,20.7,120.25,"7",130.366666666667
"1524","Ljubljana",30,4.375,0.9,0.6875,0.2,2.6,1.8875,0.7,0.0875,0.7,973.3,971.9625,971.2,94.3,91.5,88.7,3.6,2.8875,1.4,12.2,11.675,11.2,63.95,"10",57.3166666666667
"635","Koper",67,8.5,2.2,1.45,0.6,3.6,2.6,1.5,0,0,1020.1,1019.675,1019.4,90.9,88.275,83.9,4.4,3.5875,2.9,11.5,10.5125,10.1,100,"11",73.4166666666667
"572","Koper",215,44.375,2,1.6125,1.1,3.2,2.725,1.9,0,17.1,1014.4,1013.7625,1013.2,67.7,63.5125,55.8,10.3,9.325,9,22.5,20.3,19.1,125.1,"8",107.566666666667
"36","Koper",21,2.625,2.8,1.775,1.2,7.2,4.7875,3.1,0,0,1008.4,1007.725,1007.4,46.1,41.525,35.7,-10.7,-10.9875,-11.3,5.4,4.9625,4.7,67.95,"2",77.85
"1768","Ljubljana",91,22.75,1,0.5875,0.3,2.2,1.5875,1.1,0,0,979.5,978.5125,977.9,85.8,82.6625,80.5,13,11.3,10.8,18.9,18.5,18,99.95,"7",86.2666666666667
"971","Koper",18,2.625,2.2,1.6375,1.1,7.2,4.8875,2.4,0,0,1015.1,1013.65,1012.8,47.7,43.35,39.2,-1.4,-2.0375,-2.7,13,12.2625,11.5,78.75,"3",79.6
"166","Koper",219,38.75,1.9,1.2375,0.6,2.9,2.1125,1.2,0,0,1019.6,1018.8375,1018.4,53.5,49.4875,45.5,8,6.4125,5.3,22.2,20.325,19.3,114.9,"7",128.9
"1673","Ljubljana",101,20.75,1.1,0.4625,0.1,2.4,1.575,0.9,0,0,982,980.625,979.9,98.5,96.2125,94.3,5.5,4.3,4,10.8,10.0125,9.3,84.3,"4",84.2833333333333
"1169","Koper",252,41.125,2.8,1.95,0.3,4.2,3.2875,0.9,0,0,1023.3,1022.175,1021.5,69.3,63.175,44.1,9.6,7.0125,6.2,20,15.525,14.1,120.45,"9",107.383333333333
