"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"370","Koper",4,0.5,6.3,4.4625,2.5,14.9,10.6,7.7,0,0,1010.3,1008.65,1007.3,59.2,56.8375,55.7,-6.5,-7.35,-8.2,6.8,6.3375,5.4,55.6,"1",41.1666666666667
"372","Koper",3,0.375,2.1,1.4,1,3.2,2.3375,1.8,0,0,1007.8,1005.05,1003.2,85.7,80.325,77.3,-5.8,-6.4125,-6.7,4.8,3.7,2.3,63.95,"1",56.6166666666667
"374","Koper",16,2,3.2,2.45,1.8,8,5.5625,4.3,0,1,1004.1,1002.2625,1001.3,55.2,53.2625,51.4,-9,-9.3375,-10.1,4,3.65,3.4,71.65,"1",65.3666666666667
"376","Koper",3,0.375,8.6,7.35,5.4,16,13.9625,12.3,0.4375,1.8,1009.5,1008.575,1007.8,80.9,76.35,72.8,-0.4,-0.6375,-1.3,14.7,14.1875,13.7,92,"1",80.8666666666667
"377","Koper",3,0.375,6.8,5.3875,4.3,14.7,11.3,8.9,0.0125,0.2,1013.5,1012.35,1011.7,79.6,72.9375,66.5,1.1,0.675,0.1,14.4,13.7375,13.2,88.2,"2",84.95
"378","Koper",2,0.25,2.8,2.1625,1.8,6.8,4.975,3.6,0.025,0.1,1008.5,1008.0375,1007.7,85.8,79.4375,73.5,0.4,0.175,0,13.1,10.7625,9.6,70.3,"2",90.4666666666667
"383","Koper",16,2,2,1.4625,0.8,3.1,2.3875,1.5,0,0.8,1015.6,1015.075,1014.6,89.2,88.25,87.1,-2.6,-2.8625,-3.1,8.7,7.9,6.9,101.65,"2",78.3166666666667
"384","Koper",4,0.5,6.7,4.7625,1.3,14.3,8.5,3.6,0.525,3.4,1009.8,1008.825,1008.1,91.6,85.475,80.5,-0.1,-0.5375,-1.1,13.2,12.1,10.4,93.25,"2",85.8166666666667
"386","Koper",17,2.125,2.4,1.6125,0.9,4.6,3.2875,2.2,0,2.2,1009,1008.675,1008.2,84.9,81.7625,78.9,-3.7,-5.35,-6.3,8.9,7.2,6,90,"2",93.8166666666667
"389","Koper",45,5.625,2.4,2.025,1.4,3.7,3.175,2.3,0,0,1013,1012.5,1012,93.2,92.9625,92.3,-4.8,-5.3875,-5.9,5.9,5.2375,4.5,93.2,"2",80.6
"390","Koper",14,1.75,7.1,2.525,0.8,10.9,4.5375,1.9,0.0125,0.1,1009.1,1005.4125,1003,88.4,81.5,70.9,-1.9,-3.25,-4.6,12.3,10.0875,8.7,79.2,"2",81.6666666666667
"400","Koper",83,10.375,2.3,1.775,1.1,7.1,4.3,2.7,0,0,1022.8,1022.0375,1021.5,72.4,56.75,46.4,-3,-3.35,-4.2,10.5,8.65,5.6,92.2,"2",71.0166666666667
"403","Koper",58,7.375,1.4,0.8875,0.6,2.4,1.9375,1.3,0.2875,1.3,1021.1,1020.7875,1020.5,91.5,89.4375,87.2,-1.3,-1.75,-2.5,10.8,10.475,10.2,94.1,"2",100.05
"407","Koper",52,6.625,1.5,1.1625,0.7,2.9,2.1875,1.1,0,0,1001.3,999.6625,998.7,80.2,76.8875,73,-3.4,-4.175,-4.6,9.1,8.4625,7.9,76.45,"3",89.3833333333333
"411","Koper",137,18.25,2.5,1.9125,1.5,7.8,4.225,2.9,0,0,1023.7,1023.325,1023.1,64.6,57.15,51.9,-0.4,-0.725,-1,12.3,10.7625,9,85.5,"3",77.5166666666667
"417","Koper",157,21.625,2.3,1.9125,1.5,3.8,3.2,2.3,0,0,1028.6,1028.175,1027.9,58.1,55.225,48.1,1.5,0.525,-0.1,10.8,8.125,7.5,148.15,"3",111
"423","Koper",207,31.25,2.7,1.8875,0.9,4.2,3.175,1.8,0,0,1022.3,1021.5125,1021.2,81.9,74.7625,67.3,4.5,3.6,3,11.9,9.5,8.1,112.02,"3",125.161666666667
"425","Koper",55,8.25,7,5.25,3.9,13.8,9.85,7.7,0.15,1,1008.2,1005.2625,1003.3,79.7,75.5375,72.6,2,1.5625,1.2,15.2,14.75,14.3,103.49,"3",108.916666666667
"428","Koper",180,29.375,2.6,1.675,1.2,6.2,3.1625,2,0,0,1009.5,1008.775,1008.4,79.9,73.9625,56.3,-4.7,-5.0875,-5.5,9.9,6.3125,5,75.78,"3",88.4483333333333
"438","Koper",118,25.25,2.3,1.7,1.1,3.7,2.9375,2.1,0,0,1020.6,1019.975,1019.6,83,77.5125,69.5,-1,-2,-2.9,12.1,10.3375,8.9,108,"4",114.346666666667
"440","Koper",195,31.375,2.3,1.625,1.1,3.4,2.5625,2,0,0,1017.6,1016.75,1016.3,83.9,79.9125,75.5,3.8,1.7375,0.9,14.1,11.7375,10.2,88.15,"4",101.861666666667
"441","Koper",131,24.5,2,1.525,1.1,3.5,2.8125,2.2,0,0,1017.5,1017.0875,1016.6,87.3,84.925,79.2,3.2,2.1125,1.8,12.9,11.0125,10.3,96.65,"4",96.5833333333333
"442","Koper",300,58.375,2.7,1.425,0.7,4.2,2.6125,1.5,0,0,1017.6,1016.9,1016.5,90.3,86.6125,72.5,2.4,1.55,1.2,15,11.0625,9.7,107.85,"4",92.8
"445","Koper",251,65.5,7.3,3.175,1.4,11.3,6.1125,3.1,0,0,1021.3,1020.375,1019.6,48,39.7,31,-3.9,-4.925,-5.6,12,9.9375,8.1,102.35,"4",91.6333333333333
"448","Koper",21,4.625,1.9,1.2375,0.6,3.1,2.2625,1.5,0.425,3.4,1007,1006.15,1005.7,90.8,89.7625,88.9,2.4,0.85,0.2,13,12.675,12.2,84.15,"4",100.05
"450","Koper",396,74.375,2,1.5375,0.9,5.9,3.1875,2.1,1.6625,5.1,1011.8,1010.1625,1009.3,95,90.7375,77.5,3.8,2.7875,2.3,17.3,14.05,13,100.5,"4",86.05
"457","Koper",116,23.375,2.6,1.475,0.8,4.1,2.6875,1.4,0.075,0.6,1006.8,1005.8,1005.4,89.3,86.75,81.3,5.7,4.45,4,16,14.95,14.5,100.15,"4",78.6333333333333
"463","Koper",471,102.25,2.4,1.6625,0.9,3.9,2.925,1.9,0,0,1018.3,1017.4125,1016.4,73,63.3,36.5,0.7,-0.6625,-1.9,16.1,10.1375,7.7,124.85,"5",104.05
"466","Koper",481,106.125,2.8,1.7125,0.7,5.9,3.3875,1.1,0.4375,1.6,1018.7,1017.225,1016.2,89.7,82.0125,67.8,4.9,2.975,2.3,16.7,14.4,12.2,128.6,"5",128.2
"468","Koper",478,105.625,2.7,1.875,1.3,4.2,3.4875,2.3,0,0,1015.3,1014.9625,1014.7,76.8,71.0125,64.3,10.7,7.5875,6.4,18.7,14.25,12.5,147.15,"5",124.466666666667
"470","Koper",102,29.375,2.3,1.775,1,5.3,4.4125,3.5,0.5625,4.5,1011.9,1011.2,1010.6,82.3,70.4375,55.6,1.2,0.275,-0.3,16.6,14.2625,13,85.15,"5",130.016666666667
"472","Koper",333,76.5,2.4,1.7125,0.9,7.4,3.8875,1.9,0,0,1017.3,1016.95,1016.7,52.7,39.325,25.2,2.4,0.25,-0.8,15.6,14.0375,11.3,107.55,"5",104.9
"473","Koper",101,30.25,2.3,1.475,0.9,3.7,2.85,1.8,0,0,1013.8,1012.1625,1011.1,53.9,50.4125,47,0.9,0.1,-0.3,16.4,15.0375,14.3,84.8,"5",99.6
"475","Koper",276,57.125,2.5,1.6625,1.1,4.9,3.2625,1.8,0,0,1016.8,1016.3,1015.8,76.9,70.625,64.3,2.8,2.4,1.8,16.7,15.3,14.7,115.65,"5",95.9166666666667
"476","Koper",420,84.125,4.2,2.975,2,8.2,6.45,4.8,0,0,1017.2,1016.7,1016.4,73.2,66.575,57.5,4.3,2.875,2.1,19.1,16.6875,15.9,113.25,"5",98.6166666666667
"477","Koper",543,116.875,2.8,1.725,1.1,4.5,3.15,1.8,0,0,1018.8,1017.725,1017.2,82.1,72.9625,53.3,5.6,4.2375,3.5,18.7,14.3875,12.2,120.1,"5",108.1
"479","Koper",447,101,2.8,1.925,0.6,4.1,3.0375,1.2,0,0,1017.6,1017.3125,1016.8,79.1,72.9875,56,11.2,8.8125,7.6,21.9,16.6125,14.7,134.1,"5",122.3
"481","Koper",504,108.625,2.1,1.6875,1.1,4,2.9875,2.3,0,0,1014,1013.3125,1013,83.1,74.3625,65.7,8.6,7.725,7.3,22.2,19.65,18.5,139.2,"5",124.883333333333
"486","Koper",533,110.125,3.5,1.9875,1.2,6.2,3.7,2.1,1.4125,6.6,1011.6,1010.425,1009.4,89.8,83.275,69.6,6.8,4.9125,4.3,18.6,16.15,15,130.5,"5",119.866666666667
"492","Koper",520,114.75,2.5,1.8375,0.9,4,3.05,1.9,0,0,1011.7,1011.325,1011,73.1,65.575,51.4,9.6,4.8,3.2,20.4,15.8875,13.3,137.15,"6",121.15
"494","Koper",487,108.625,2.3,1.6125,0.9,3.6,2.7125,2,0,0,1018.8,1018.125,1017.7,83.6,76.6875,59.1,12.4,8.7375,6.7,22.9,17.975,16,160.55,"6",134.816666666667
"495","Koper",486,107.625,2.2,1.725,1.2,3.8,2.8875,1.7,0,0,1018,1017.7,1017.5,84.9,77.5375,63.1,13,10.925,10.3,22.7,18.75,16.8,172.55,"6",143.25
"496","Koper",502,110.75,2.4,1.5125,0.9,3.8,2.8,1.7,0,0,1019.6,1018.8,1018.3,79.5,74.825,67.5,16,13.9125,13.2,23.7,20.4625,18.6,167.9,"6",155.05
"501","Koper",221,43.875,2.9,1.825,0.5,7.6,4.8125,2,0,0,1013.5,1013.0625,1012.8,65.7,48.225,34,7.5,5.5125,4.9,21.6,19.8375,18.4,109.55,"6",148.016666666667
"504","Koper",412,78.75,2.7,1.6875,0.9,3.9,2.825,2,0,0,1012.2,1011.7375,1011.5,68.2,58.1125,41.1,9.7,8.525,8,24,20.525,19.2,177.35,"6",127.733333333333
"505","Koper",353,92.25,2.3,1.5625,0.6,4.4,2.9125,1.7,0,0,1015.7,1014.3375,1013.2,64.6,55.5125,46.7,7.3,4.9125,4,21.9,20.725,19.2,115.1,"6",150.333333333333
"509","Koper",104,27.375,2.7,1.825,1.2,6.1,4.4125,2.9,0.875,4.7,1012,1008.8125,1007.5,82.8,71.8125,60.7,8.2,7.55,7.3,22.5,20.3375,19.1,104.85,"6",130.65
"513","Koper",486.7,106.6,4.5,2.925,1.3,7.4,5.2625,3.5,0,1.2,1013.7,1012.65,1011.7,75.3,69.45,55.5,10,9.65,8.7,26.4,23.3875,22.2,123.05,"6",124.733333333333
"528","Koper",155,34.375,2.2,1.5625,1.1,4.1,2.9875,1.9,0,0,1012.8,1012.4,1012,83.7,80.675,70.4,11.1,9.375,8.5,21.5,20.025,19.3,104.55,"7",117.316666666667
"531","Koper",445,95.25,2.8,2.05,1.4,3.9,3.225,2.2,0,0,1017,1016.675,1016.5,78.2,70.425,54.4,14.4,12.8,12.2,26.6,23.4,21.6,161.85,"7",130.716666666667
"535","Koper",243,37.375,2,1.1875,0.6,6,3.0625,1.5,0.0375,0.1,1010,1009.6125,1009.4,85,77.75,65.6,11.1,10.5375,10.1,24,21.95,21.2,120.25,"7",125.8
"537","Koper",281,77.125,2,1.5,1,3.2,2.775,2.1,0,0,1013,1012.45,1012.2,85.2,79.0875,64,12,10.8625,10,25.3,21.825,20.3,128.8,"7",118.9
"540","Koper",112,31.625,3.3,2.0625,1.2,6.9,4.325,2.5,0,0.5,1009.2,1008.5125,1008,77.7,75.8375,73.6,11.2,10.825,10.5,24.6,23.3125,22.5,97.4,"7",123.383333333333
"547","Koper",213,43,3.4,2,1.4,7.5,4.3375,2.3,0,0,1013.6,1013.0625,1012.6,87.5,71.6,52.4,11.3,9.95,9.1,25.4,22.5375,21.2,101.6,"8",117.05
"549","Koper",417,86,2.5,1.5125,0.9,4.7,2.825,1.8,0,0,1013.3,1012.975,1012.7,68.9,60.35,51.8,12.4,10.0875,9.5,25.3,22.875,20.6,145.9,"8",116.3
"551","Koper",391,78.625,2.8,1.75,0.8,4,2.85,1.9,0,0,1014.3,1014.0375,1013.8,79.6,73.5625,53.1,12.9,11.7,11,26.6,21.7,20.1,140.2,"8",131.1
"552","Koper",360,68.25,2.3,1.6375,0.8,3.6,2.65,1.7,0,0,1015.5,1015.1875,1015,78.6,74.625,61.4,13.6,12.1375,11.6,26.1,22.975,21.5,130.15,"8",137.916666666667
"553","Koper",393,75,2.7,1.75,0.9,4.5,2.925,1.6,0,0,1013.3,1012.8375,1012.5,79.7,74.8625,60.1,14.8,13.5375,13,27.4,23.2625,21.5,121.6,"8",132.666666666667
"557","Koper",391,65.125,3,2.25,1.6,5.9,4.9,3.9,0.05,0.4,1011.9,1011.5875,1011.3,69.5,64.525,60.1,7.1,6.475,6.2,21.9,20.525,19.9,84.75,"8",108.466666666667
"560","Koper",380,74.625,2.4,2.05,1.4,3.6,3.1625,2.5,0,0,1014.7,1014.2625,1014,81,73.8375,58.1,8.8,7.5125,6.9,22.4,17.525,15.9,113.2,"8",87.6833333333333
"565","Koper",193,49.5,2,1.6125,1.2,3.8,3.05,2.1,0,0,1014.4,1013.3125,1012.5,87.6,82.2625,71.5,7.6,6.275,5.7,19.4,17.5,15.6,104.25,"8",105.1
"575","Koper",101,19.375,3.5,2.0875,1.5,7,5.4625,3.9,0.575,3.8,1012.5,1012.0125,1011.8,72.6,68.575,61.9,10.2,8.8,8.2,20.6,18.7375,18.1,79.05,"9",92.45
"577","Koper",92,14.875,2.1,1.275,0.9,5.4,3.3,2.1,0.025,0.2,1013.4,1012.975,1012.7,82.9,71.9875,66.6,10.5,9.6625,9.3,22.6,21.8,20.1,87.25,"9",75.0833333333333
"578","Koper",121,22.25,1.9,1.425,0.7,3.6,2.675,1.5,0,0,1011.5,1010.8625,1010.4,78.6,72.25,61.8,9.8,9.6375,9.3,22.5,20.9125,19.5,79.5,"9",82.15
"579","Koper",310,56.375,2.1,1.35,0.9,3.5,2.85,2.3,0,0,1013.1,1012.5875,1012.3,77.9,68.6875,55.4,9.2,7.5625,6.9,22.9,20.1,17.8,95.45,"9",82.3
"583","Koper",40,6.5,2.2,1.25,0.7,5.9,3.3875,2,0.7875,6.3,1010.7,1009.55,1008.8,87.4,80.1375,74.3,7,6.5375,6.1,18.9,18.5125,17.9,82.7,"9",115.216666666667
"584","Koper",147,23.25,2.6,1.9375,0.9,4,3.1,1.7,0.0125,0.1,1011,1010.55,1010.2,85.8,81.75,72.1,5.2,4.7625,4.2,16.9,14.275,13.2,81.6,"9",104.933333333333
"594","Koper",318.9,45.7125,3.4,1.9125,0.9,7.1,3.5,1.5,0.2,0,1011,1009.6,1008.9,91.7,88.925,79.7,8.4,7.7375,7.3,19.6,17.0375,16.1,89.7,"9",81
"596","Koper",252,41.75,2.1,1.9125,1.5,3.3,2.9,2.5,0,0,1019.1,1018.55,1018.2,88.1,84.925,72.4,3.4,2.975,2.6,16.7,13.4875,12.4,99.85,"9",89
"600","Koper",242,38.375,2.6,2.15,1.3,3.7,3.3,2.4,0,0,1028.6,1028.025,1027.7,88.3,85.35,74.9,7.3,6.7,6.2,17.6,15.05,13.9,123,"9",98.8333333333333
"603","Koper",89,13.375,2,1.625,1.3,3.5,2.675,2.2,0,0,1024.6,1024.05,1023.6,87.2,86.225,83.8,9,8.05,7.6,18,16.8,16.4,72.75,"10",109.566666666667
"604","Koper",67,15.125,2.5,2.1,1.6,7,5.375,3.3,0,0,1024.3,1023.175,1022.8,62.6,59.55,56.3,7.4,7.15,6.6,19.9,19.5625,19.3,82.6,"10",92.8166666666667
"606","Koper",182,27.75,2.5,1.925,1.1,4.2,3.0375,1.8,0,0,1020.9,1019.7625,1019.1,79.5,75.575,67.1,6.2,4.45,3.8,17.9,15.275,13.9,71.15,"10",80.7333333333333
"607","Koper",199,30.375,2.2,1.7375,0.7,4,3.225,2,0,0,1017.6,1017.0875,1016.8,80.6,75.45,60.3,4.1,2.7,2.2,16.9,13.6,12.3,70.95,"10",80.2
"610","Koper",73,10.75,5.1,3.4,1.6,9.6,6.2625,2.8,0.0125,0.1,1019,1018.2,1017.6,80.7,76.5125,74.2,8.6,7.1875,5.8,21,20.1875,19.4,95.4,"10",80.8166666666667
"611","Koper",170,24.75,3.6,2.15,1.3,5.2,3.575,2.3,0,0,1018.1,1017.8625,1017.6,86.1,80.625,74.2,9,8.7875,8.5,21,19.025,17.6,101.45,"10",88.9666666666667
"612","Koper",161,22.875,1.6,1.0625,0.4,2.4,1.8375,1.2,0,0,1018.9,1018.6125,1018.4,80,78.9125,76.5,9.3,9,8.6,20.1,18.9375,17.8,91.1,"10",94.7
"613","Koper",122,18.125,2.4,1.7125,1.1,4.1,3,2,0,0,1018.1,1017.525,1017.1,86.9,85.175,79.8,9.5,8.85,8.5,17.5,16.575,16.1,97.55,"10",95.9833333333333
"614","Koper",93,13.875,2.6,1.7375,0.6,3.8,2.85,1.5,0,0,1017.5,1016.5125,1016,90.4,87.275,80.9,9,8.475,8.1,17.6,16.9125,16.1,94.1,"10",96.7
"622","Koper",28,4,2.2,1.8,1.5,3.4,2.8875,2.5,0,0,1023.7,1022.825,1022.4,90.1,87.8875,84.4,14.3,12.1125,10.7,18.6,17.7125,16.8,79.65,"10",76.0166666666667
"625","Koper",73,10.125,2.3,1.8125,1.3,3.9,3.1,2.3,0,0,1012.9,1011.6625,1011.2,90.1,87.075,83.7,3.7,2.425,1.3,12.3,11.7125,11.1,53.8,"10",71.8666666666667
"636","Koper",84,10.625,5.9,4.8125,2.9,11.1,8.9875,6.9,0,0,1015.1,1013.7375,1012.9,76.3,74.375,68.8,3.7,3.1625,2.2,16.9,16.4125,15.9,102.6,"11",80.4666666666667
"638","Koper",12,1.5,3.3,2.325,1.2,7.4,4.85,3.1,0.1625,6.2,1008.4,1007.5875,1007,78.4,75.3125,71.8,6.1,5.8625,5.6,17.9,17.525,16.9,72.45,"11",100.166666666667
"639","Koper",21,2.625,1.9,1.3,0.6,3.6,2.6875,1.5,0.6875,0.7,1009.5,1008.95,1008.6,94.4,91.85,84.8,6.8,6,5.2,17,16.4125,16,60.3,"11",90.9833333333333
"640","Koper",23,2.875,3.9,2.5875,1.8,10.2,6.8875,3.3,0.2875,2.2,1012,1010.675,1010,87.5,80.3375,73.9,7,6.1,5.5,17.8,17.4625,17,79.3,"11",76.8833333333333
"642","Koper",37,4.625,2.5,1.65,0.8,4.5,2.9625,1.7,0,0,1016.8,1016.1125,1015.8,89.9,84.0375,78.5,5.1,4.725,4.5,17.1,15.65,14.3,83.25,"11",69.5166666666667
"650","Koper",9,1.125,6.7,4.6625,2.9,11.3,8.7625,7,0.7375,4.9,1006.2,1003.5,1001.9,84.8,77.8625,74.4,0,0,0,13.2,12.8375,12.5,81.6,"11",77.9333333333333
"651","Koper",14,1.75,1.9,1.1125,0.5,3.3,1.9875,1.1,0,0,1012.8,1010.875,1009.7,89.7,87.3,83.7,-1.2,-1.8375,-2.1,10.5,10.1125,9.8,61.15,"11",77.9333333333333
"653","Koper",29,3.625,2.2,1.7875,1.5,3.4,2.975,2.2,0,0,1024,1023.525,1023.3,90,87.85,83.7,-0.6,-0.9875,-1.5,8.5,7.725,7.4,45.55,"11",58.05
"655","Koper",20,2.5,2.6,1.7,1.2,4,2.8625,2.3,0,0,1027.1,1026.1375,1025.9,92.9,92.1,91.3,6.8,5.7375,5,7.2,6.775,6.2,39.55,"11",46.0333333333333
"657","Koper",20,2.5,2,1.7125,1.2,3.4,2.8625,2.3,0,0,1022.4,1021.5625,1021,92.4,91.45,90.4,7.4,7.0125,6.4,8.6,8.025,7.7,49.75,"11",45.3
"662","Koper",5,0.625,2,1.3,0.9,3.1,2.35,1.8,0,0.9,1014,1013.6125,1013.2,95,94.3875,93.8,5,4.475,4,13.8,13.6125,13.4,32.4,"11",44.2333333333333
"664","Koper",4,0.5,3.7,2.075,1.1,7.9,4.75,2.6,0.025,0.2,1004.5,1003.8375,1003.5,79.2,70.0625,65.4,2.2,1.9625,1.6,11,10.3,9.9,30.95,"12",43.45
"667","Koper",6,0.75,2,1.475,0.8,3.7,3,1.5,0.0375,0.6,1015.2,1015.0375,1014.9,77.9,74.3625,70.8,1.4,1,0.7,10.3,9.7875,9.3,40.25,"12",33.5666666666667
"668","Koper",4,0.5,2,1.4,0.8,2.9,2.3875,1.9,0.15,0.9,1014.1,1013.4375,1012.9,89.8,82.6125,73.9,1.3,1.0875,0.7,9.9,8.8875,8,44.7,"12",36.6666666666667
"670","Koper",10,1.25,3.4,1.925,1.1,7.5,4.725,3.4,0,0,1015.9,1015.625,1015.3,63.2,58.375,54,-2.7,-2.9375,-3.1,10.7,10.3875,10.2,46.6,"12",39.3666666666667
"673","Koper",4.9,0.6125,2.7,1.825,1,4.3,3.225,2.2,0,0,1019.2,1018.5125,1018,57.3,53.8125,50.9,-1.1,-2.2875,-3.2,5.7,4.95,4.2,70.75,"12",54.7333333333333
"674","Koper",6,0.75,2.5,1.7375,1.1,4.1,3.05,2.3,0,0,1020,1019.6,1019,81.6,77.575,72.9,-1.2,-1.9375,-2.4,2.8,2.5375,2.1,34.05,"12",62.7833333333333
"676","Koper",1,0.125,2.2,1.475,1,6.7,4.2,2.7,0,0,1011.5,1010.025,1008.8,77.6,66.0625,57.4,0,-0.9,-1.8,12.3,11.975,11.3,75.6,"12",54.2833333333333
"679","Koper",1,0.125,2.5,1.5125,0.6,3.9,2.475,1.2,0.05,0.4,1022.6,1021.75,1021.3,92.2,87.5,78.7,4.1,3.4125,1.8,11.5,10.7875,10.5,24.35,"12",54.6166666666667
"680","Koper",3,0.375,3.2,1.9875,0.8,4.8,3.4375,1.6,0,0,1025.7,1023.3875,1021.6,91,85.4875,76.3,-1.7,-2.65,-3.5,10.8,7.925,5.7,64.3,"12",37.5333333333333
"689","Koper",8,1,4.6,3.7375,2.3,11.3,9.175,7.3,0,0,1030.1,1029.7125,1029.5,46.8,43.4,32,-11.2,-11.45,-11.7,-0.5,-0.8125,-1,75.65,"12",69.0333333333333
"692","Koper",2,0.25,2.5,1.8,1.1,4.1,3.4625,2.8,0,0,1027.7,1027.0375,1026.5,84.7,82.8125,80.8,3.8,1.5,-0.3,4.2,2.925,2.1,50.7,"1",71.1333333333333
"697","Koper",1,0.125,1.6,1.2,0.8,2.5,2.175,1.6,0,0,1032.7,1032.3125,1032,73.9,69.525,66.4,-3.7,-5.075,-5.5,7.5,7,6.4,57.5,"1",73.45
"706","Koper",1,0.125,7.8,6.7125,5.5,16.7,13.125,11.2,0,0,1014.5,1013.575,1012.7,66.8,66.3125,65.9,0.6,0.225,0,13.7,13.6375,13.5,83.15,"1",63.2166666666667
"708","Koper",4,0.5,2,1.775,1.3,3.7,2.8625,2.2,0,0,1014,1013.1375,1012.6,91.7,88.35,84.7,-4.9,-5.5875,-6.3,4,3.2,2.7,56.1,"1",80.9666666666667
"712","Koper",2,0.25,3.5,2.6625,2,7.7,6.4625,4.6,0,0,1014.9,1013,1011.6,50.8,48.3375,47.1,-6.2,-7.05,-7.6,8.1,7.625,7,62.15,"1",51.3833333333333
"714","Koper",7,0.875,2.3,1.625,0.6,3.6,2.9875,2,0,0,1019.7,1017.6375,1016.2,64.7,62.5375,60.7,-6.8,-8.5625,-9.2,2.9,0.8375,0.2,67.15,"1",60.1833333333333
"715","Koper",6,0.75,2.7,1.625,0.4,5.9,3.4625,1.3,0,0,1017.8,1017.05,1016.6,64.1,52.9375,44.7,-8,-8.825,-9.3,4.8,3.4,2,71.35,"1",66.1333333333333
"716","Koper",4,0.5,2.7,2.1375,1.7,4.1,3.3125,2.5,0,0,1009.7,1007.2375,1004.9,65.2,58.65,50,-6.9,-8.175,-9.3,4.4,1.7875,-0.1,71.8,"1",69.2
"717","Koper",0,0,6.2,3.5625,1.7,12.4,7.125,3,1.225,9.8,986.7,979.8375,973.5,91,83.275,75.9,-3,-4.0375,-4.9,10.4,8.6,7.2,78.55,"1",70.1
"718","Koper",12,1.5,2.9,2.025,0.6,5.1,3.6,1.4,0,0,986.4,984.9375,983.2,86.2,79.2,67,-8.9,-10.1375,-10.7,3.5,2.225,1.1,77.4,"1",73.9
"723","Koper",2,0.25,4.2,2.5875,1.3,9.7,7.1,3.9,0.3375,1.3,1008.3,1007.375,1006.3,67.8,62.325,54.3,-7.2,-7.4625,-8,5,4.75,4.4,77.45,"2",67.2333333333333
"738","Koper",51,6.375,2.2,1.7125,1.1,3.5,3.05,2.5,0,0,1028.7,1027.05,1026,77.8,74.65,71.3,1.4,0.9375,0,1.8,0.7625,-0.2,99.2,"2",94.15
"740","Koper",15,1.875,2,1.275,0.4,5.3,2.825,0.9,0.2125,2,1004.3,1001.85,1000.2,85.2,77.0625,67.8,-2.4,-3.225,-4,9,7.6,6.8,92.4,"2",98.4833333333333
"746","Koper",164,21,3.3,2.2125,1.1,7.4,6,3.5,0,0,1015.5,1014.25,1013.7,55.1,51.4125,42.6,-1.8,-3.0375,-3.9,11.5,9.2125,8,80.35,"2",77.2333333333333
"747","Koper",101,13.5,2.4,1.9125,1.4,4.2,3.325,2.7,0,0,1017.9,1017.2375,1016.8,71.7,68.1625,64.8,-4,-4.9375,-6.1,4.5,3.875,3.2,93.85,"3",78.9166666666667
"750","Koper",41,5.375,2.3,1.7125,1.4,3.8,2.8125,2.1,0,0,1023.6,1021.9875,1021.1,59.4,56.625,52.9,-2.6,-3.1,-3.8,10.5,7.7,6.1,87.85,"3",93.65
"751","Koper",40,5.25,7.6,5.9875,4.5,18.4,15.8625,12.2,0,0,1020.9,1020.2125,1019.8,42,37.0875,31.6,-6.9,-7.225,-7.5,8.9,8.625,8.3,78.4,"3",91.65
"752","Koper",148,19.125,5.3,3.85,2.8,13.5,9.25,6.3,0,0,1030.5,1028.75,1027.5,28.5,27.575,26.6,-6.5,-8.4,-9.4,8.6,7.9125,7.2,75,"3",86.3833333333333
"758","Koper",164,22.25,3.5,1.8375,1.1,9.6,4.05,2,0,0,1022.7,1022.1125,1021.4,48.8,35.5625,25.7,-4.3,-5.975,-6.8,10.4,7.5125,4.4,81.1,"3",90.45
"760","Koper",179,25.25,2.4,1.6625,1,4.3,3.175,1.9,0,0,1020.8,1019.975,1019.4,66.7,61.45,56.5,-4.3,-5.35,-6,6,5.125,3.7,96.2,"3",83.3333333333333
"763","Koper",77,11.5,2.4,1.7625,1,5.5,4.4,3.2,0,0,1028.2,1027.45,1026.9,63.2,61.1375,58,-0.6,-1.5375,-2.3,12.1,11.45,11,81.15,"3",94.2833333333333
"768","Koper",26,3.875,1.9,1.0875,0.4,3.5,2.55,1,0.1875,1.5,1016.3,1015.35,1014.8,84.2,74.8,64.3,-1.6,-2.675,-4.1,10.7,10.2875,9.9,102.1,"3",108.55
"769","Koper",205,31.25,2,1.575,1.1,4.3,3.7125,2.8,0,0,1017.6,1017.25,1017,63,54.9875,45.8,-1.7,-2.0625,-2.5,12.2,9.9,7.9,108.5,"3",104.966666666667
"770","Koper",195,30.875,2.5,1.7375,1,4.1,3.075,2,0,0,1013.9,1013.4875,1013.1,69.1,65,57.1,-1.1,-2,-3.2,9.7,7.325,6.2,104.35,"3",103.65
"773","Koper",45,8.5,1.9,1.0125,0.3,2.7,1.7625,0.9,0.075,0.6,1006.9,1005.5625,1005,94.1,93.6625,92.7,2.5,1.35,-0.3,13,12.6625,12.4,77.65,"3",94.8666666666667
