"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"85","Koper",22.9,4.6,6.7,5.0625,2.9,13.4,9.6,6.2,1.2125,13.1,1007.3,1006.375,1005.7,89.5,83.825,75.6,-0.3,-0.75,-1.4,12,11.025,9.1,97.4,"3",105.816666666667
"89","Koper",79.8,11.45,3.7,2.45,0.8,9.2,6.1125,2.4,0.15,1.2,1004.3,1002.6,1001.2,70.5,66.2,60.9,-2.7,-3.925,-4.9,8.2,7.2375,6.5,101,"4",94.55
"96","Koper",192,46.625,2.5,1.25,0.5,3.7,2.3375,1,0,0,1022.6,1021.8125,1021.5,69,66.3875,63.9,4.2,2.95,2.2,15.3,14.0875,13,116.05,"4",115.733333333333
"98","Koper",366,71.75,2.7,1.3875,0.5,3.8,2.4625,1,0,0,1021.9,1021.1625,1020.6,76.7,70.875,64.8,7,6.9375,6.8,17,14.025,12.4,159.6,"4",130.833333333333
"106","Koper",352,62.125,2.1,1.35,0.7,3.1,2.2625,1.4,0,0,1021.5,1020.35,1019.4,67.6,61.65,52.7,9.2,7.95,6.9,17.5,13.3875,12.1,143.3,"4",130.666666666667
"108","Koper",310.8,49.275,5.9,3.5875,2,10.5,6.875,4.3,0,0,1011.7,1009.3125,1008,72.1,68.725,61.8,5.1,4.7375,4.3,19.4,17.825,17.3,106.75,"4",129.616666666667
"110","Koper",201,50.25,2.5,1.9875,1.1,4.1,3.5625,2.4,0,0,1019.4,1018.6375,1018.2,69.5,60.175,53,10.5,9.3625,7.9,19,15.9875,14.1,115.75,"4",111.983333333333
"112","Koper",85.9,20.7125,2.3,1.625,1.2,3.6,2.925,2.5,0.1625,1.2,1017.7,1016.75,1015.1,84.7,75.825,62.8,10.3,9.7625,8.9,20,18.025,16.5,91.3,"5",120.466666666667
"118","Koper",445.8,78.4,1.6,1.1125,0.7,3,2.3,1.7,0,0,1014.7,1014.1125,1013.5,92,86.3,66.5,9.6,6.4625,5.5,19.5,16.7375,15.5,97.2,"5",86.0166666666667
"121","Koper",138.8,28.9,2,1.0625,0.5,4.2,2.6125,1.5,1.625,5,1011.2,1010.35,1009.9,91.4,88.6875,85.1,6.6,5.525,4.8,18.1,17.45,17.1,94.6,"5",109.883333333333
"123","Koper",236.9,46.575,7.6,2.275,0.7,11.1,4.0125,1.5,0,0,1016.7,1015.525,1014.7,76.5,70.3875,51.6,2.4,1.2875,0.6,15.5,14.1,13.3,113.6,"5",103.15
"124","Koper",476,104.375,2.8,1.8875,0.8,4.1,2.9875,1.6,0,0,1016.1,1015.55,1015.3,79.5,72.475,59.5,6.7,3.7875,2.4,18,13.325,11.5,124.25,"5",100.816666666667
"127","Koper",125.9,24.2,4,2.5,1.1,10.2,5.9375,2,0.0625,0.5,1001.6,1001.3,1000.9,66.6,50.8,39,5.3,4.9125,4.5,19.9,18.7125,17.4,100.05,"5",116.816666666667
"128","Koper",311,56.375,4.7,2.575,1.3,5.9,4.2375,2.5,0,0,1014.4,1012.0875,1010.4,73.5,70.0875,64.7,3.1,2.2625,1.8,17.2,15.5875,14.3,108.85,"5",108.75
"132","Koper",533,89.875,5.8,2.5375,1.6,9.8,4.9625,3.4,0.2625,1.1,1008,1007.425,1006.9,78.4,74.425,63.4,0.1,-1.1625,-1.8,13.9,11.6625,10.8,105.55,"5",104.75
"136","Koper",197.6,55.175,4.7,2.15,0.5,9.3,4.4375,1.5,0,0,1004.1,1002.4375,1001.6,74.1,69.325,63.8,3.8,3.525,2.9,18.9,17.2875,16.4,111,"5",118.05
"138","Koper",75,19.125,2.1,1.5625,1.1,3.3,2.5125,1.8,0.175,3.1,1001.7,1001.2125,1000.8,90.5,87.575,82.8,-0.3,-0.525,-0.7,12.9,12.2,11.9,80.7,"5",107.25
"139","Koper",194.3,48.275,4.2,2.0375,0.8,7.9,3.9125,1.6,0.95,7.5,1004.7,1002.7625,1001.7,86.3,78.975,60.9,2.3,1.2,0.9,15.6,13.225,11.9,96.55,"6",95.7166666666667
"143","Koper",516.9,122.825,1.5,1.125,0.8,2.6,2.225,1.6,0,0,1016.2,1015.3,1014.8,66.7,60.725,51.6,7.6,6.0625,5.3,20.8,18.725,17.4,111.5,"6",104.85
"145","Koper",522,115.5,2.4,1.575,0.8,3.5,2.6625,1.8,0,0,1018.3,1017.7125,1017.3,79.4,71.6375,53.4,10.4,7.6,6.8,20.4,16.8875,15,121.15,"6",113.666666666667
